artist,title,pop_date,pop_peakPos,pop_lastPos,pop_weeks,pop_rank,pop_change,rnb_date,rnb_peakPos,rnb_lastPos,rnb_weeks,rnb_rank,rnb_change
Zendaya Featuring Chris Brown,Something New,4/9/16,28,28,6,32,-4,4/16/16,27,27,8,36,-9
Avril Lavigne,Smile,9/3/11,35,26,11,37,-11,9/27/97,31,47,20,45,2
Eve Featuring Alicia Keys,Gangsta Lovin',1/18/03,2,38,26,37,1,12/14/02,2,39,24,46,-7
Justin Bieber,Company,5/14/16,16,17,9,25,-8,3/7/15,42,0,1,42,New
Drake,Controlla,9/3/16,40,0,1,40,New,11/12/16,5,15,26,17,-2
Post Malone,White Iverson,2/20/16,27,32,10,37,-5,2/27/16,5,10,26,13,-3
Eamon,F**k It (I Don't Want You Back),5/15/04,9,31,24,39,-8,3/6/04,37,48,13,46,2
Ciara Featuring Ludacris,Oh,10/8/05,6,35,22,38,-3,8/27/05,2,35,42,46,-11
Rihanna,Diamonds,2/23/13,2,17,20,20,-3,6/1/13,1,24,34,24,0
Omarion,Ice Box,5/26/07,13,35,16,39,-4,5/19/07,5,27,27,40,-13
Ciara Featuring Chamillionaire,Get Up,1/20/07,15,33,20,31,2,12/27/08,37,26,10,38,-12
2Pac,Changes,3/6/99,38,39,4,40,-1,3/6/99,12,34,20,42,-8
Alessia Cara,Here,3/5/16,1,8,30,11,-3,4/23/16,1,16,26,23,-7
Mary J. Blige,No More Drama,4/13/02,18,31,11,39,-8,4/27/02,16,40,32,47,-7
Shawn Mendes,Mercy,3/18/17,22,8,19,7,1,1/26/13,1,15,41,20,-5
Backstreet Boys,Incomplete,8/20/05,34,38,18,40,-2,2/17/01,1,49,44,49,0
Destiny's Child,Independent Women Part I,4/14/01,1,27,26,31,-4,3/17/01,3,34,27,45,-11
Sean Paul,Get Busy,10/11/03,3,36,26,38,-2,10/4/03,1,37,34,36,1
Brian McKnight,Back At One,4/8/00,2,23,26,26,-3,3/25/00,7,45,32,50,-5
Haddaway,What Is Love,3/5/94,4,32,26,30,2,4/11/15,39,41,3,45,-4
Daniel Powter,Bad Day,8/5/06,28,23,20,26,-3,11/23/13,17,0,1,17,Hot Shot Debut
Usher,You Make Me Wanna...,5/9/98,7,18,29,19,-1,12/26/98,1,43,71,42,1
Jeremih,Birthday Sex,9/19/09,14,0,16,40,Re-Entry,9/19/09,1,40,27,47,-7
Truth Hurts Featuring Rakim,Addictive,8/10/02,34,36,5,34,2,10/5/02,2,42,29,48,-6
Mariah Carey,It's Like That,4/23/05,16,23,11,37,-14,5/14/05,17,49,17,50,-1
Akon,Don't Matter,7/7/07,3,24,20,24,0,7/7/07,5,46,20,47,-1
David Archuleta,Crush,1/10/09,38,35,20,36,-1,8/9/97,24,45,19,48,-3
Mariah Carey,Through The Rain,2/1/03,26,26,8,31,-5,11/26/94,27,45,20,47,-2
R. Kelly,Bump N  Grind,6/18/94,24,31,9,36,-5,7/30/94,1,43,26,49,-6
H-Town,Knockin  Da Boots,8/7/93,34,36,5,34,2,10/2/93,1,47,27,49,-2
Ginuwine Featuring Baby,Hell Yeah,7/12/03,12,34,16,36,-2,5/17/03,16,29,17,35,-6
Brandy,Have You Ever?,5/8/99,3,21,26,24,-3,4/10/99,2,46,25,46,0
Taylor Swift,Mine,1/8/11,12,31,20,31,0,2/15/14,25,37,7,39,-2
Karmin,Brokenhearted,7/21/12,10,19,20,21,-2,2/17/96,2,41,25,45,-4
Afroman,Because I Got High,10/6/01,25,32,5,34,-2,9/29/01,40,41,7,46,-5
OutKast Featuring Sleepy Brown,The Way You Move,5/29/04,1,20,26,24,-4,7/3/04,2,48,43,50,-2
Jeremih,Oui,5/28/16,36,39,5,38,1,6/25/16,5,11,26,12,-1
Kanye West,Love Lockdown,3/14/09,10,30,20,31,-1,12/6/08,26,39,11,44,-5
Bobby Brown,Humpin  Around,10/31/92,6,21,5,29,-8,12/19/92,1,53,20,50,3
Justin Bieber,One Time,12/26/09,14,26,20,34,-8,6/6/15,34,39,9,42,-3
Flume Featuring Tove Lo,Say It,2/25/17,40,31,11,39,-8,4/16/16,10,14,26,13,1
Janet Featuring BLACKstreet,I Get Lonely,7/18/98,29,37,11,39,-2,12/26/98,1,46,33,44,2
Luther Vandross,Endless Love,11/26/94,7,31,11,40,-9,11/12/94,7,30,13,39,-9
Christina Aguilera,Your Body,11/24/12,20,22,9,30,-8,11/12/05,22,28,14,41,-13
Kanye West,Through The Wire,4/10/04,32,32,5,34,-2,5/1/04,8,35,29,46,-11
Brownstone,If You Love Me,6/24/95,21,36,19,36,0,4/1/00,5,48,32,44,4
TLC,Girl Talk,12/21/02,23,25,8,36,-11,12/21/02,23,37,11,47,-10
"Three 6 Mafia Featuring Project Pat, Young D & Superpower",Lolli Lolli (Pop That Body),10/4/08,20,28,12,36,-8,8/16/08,48,51,9,48,3
Xscape,Just Kickin' It,12/25/93,23,25,12,25,0,12/25/93,2,7,25,9,-2
Jay-Z,Dirt Off Your Shoulder,7/17/04,18,31,13,36,-5,7/31/04,3,38,34,45,-7
Jordin Sparks,Tattoo,4/5/08,5,20,26,20,0,8/11/07,31,46,20,48,-2
Michael Jackson,Blood On The Dance Floor,5/10/97,38,38,2,39,-1,6/21/97,19,34,13,49,-15
Juelz Santana,There It Go! (The Whistle Song),4/29/06,13,35,20,35,0,2/25/06,8,32,26,41,-9
HAIM,Forever,7/12/14,37,37,4,37,0,3/6/10,35,40,26,38,2
Jason Derulo,The Other Side,9/21/13,5,18,20,23,-5,6/8/91,34,35,11,34,1
Alicia Keys,A Woman's Worth,3/9/02,16,28,12,36,-8,4/20/02,3,34,28,50,-16
Fastball,Out Of My Head,11/6/99,8,30,26,34,-4,11/5/11,11,43,32,47,-4
La Roux,Bulletproof,8/21/10,6,13,23,16,-3,2/27/10,46,52,17,49,3
Paula Cole,Me,6/6/98,25,26,13,32,-6,12/1/07,32,46,25,47,-1
John Legend,Love Me Now,3/11/17,19,35,19,38,-3,3/11/17,10,20,20,30,-10
Janet,Doesn't Really Matter,7/8/00,39,0,22,39,Re-Entry,7/8/00,19,20,22,19,1
TLC,Waterfalls,12/16/95,2,27,26,29,-2,12/2/95,4,45,26,48,-3
JoJo,Anything,5/26/07,38,39,2,38,1,6/11/11,31,44,18,48,-4
New Boyz Featuring Ray J,Tie Me Down,4/24/10,23,31,13,39,-8,1/30/10,42,51,19,50,1
Willow,Whip My Hair,1/1/11,28,31,6,33,-2,1/29/11,5,22,19,37,-15
Sixpence None The Richer,There She Goes,12/18/99,13,35,17,40,-5,8/25/01,10,46,19,48,-2
"Jay-Z, Rihanna & Kanye West",Run This Town,1/16/10,8,39,19,37,2,12/19/09,3,40,20,42,-2
Lil Wayne Featuring T-Pain,Got Money,11/29/08,33,39,9,39,0,12/20/08,7,35,30,43,-8
50 Cent Featuring Nate Dogg,21 Questions,8/23/03,6,32,15,40,-8,9/13/03,1,48,28,49,-1
Mariah Carey,Bye Bye,7/12/08,18,23,10,27,-4,6/28/08,33,34,9,41,-7
Justin Bieber Featuring Ludacris,Baby,5/15/10,38,35,14,40,-5,10/11/08,48,33,16,41,-8
Jet,Look What You've Done,4/30/05,24,31,8,37,-6,12/2/95,42,42,20,42,0
Prince,Letitgo,10/22/94,17,21,8,31,-10,11/5/94,10,39,15,48,-9
Michelle Branch,Breathe,2/7/04,36,30,16,36,-6,1/29/05,4,23,20,35,-12
Mike Posner,Please Don't Go,2/19/11,19,21,20,22,-1,12/1/07,16,36,55,43,-7
Mariah Carey,You're Mine (Eternal),4/19/14,36,37,4,39,-2,6/14/14,24,0,5,47,Re-Entry
Bone Thugs-N-Harmony,Tha Crossroads,10/19/96,18,0,18,40,Re-Entry,9/7/96,1,42,20,49,-7
Shai,Comforter,5/8/93,31,34,5,34,0,7/24/93,4,40,27,48,-8
Jess Glynne,Hold My Hand,11/28/15,38,28,12,30,-2,1/29/11,33,42,10,45,-3
Beyonce,Countdown,12/10/11,38,38,3,40,-2,3/31/12,12,39,40,47,-8
John Mellencamp,Just Another Day,3/29/97,27,33,13,37,-4,4/30/94,37,47,13,50,-3
Flo Rida Featuring Sage The Gemini & Lookas,G.D.F.R.,7/4/15,8,25,20,25,0,6/13/15,3,7,32,10,-3
Big Sean Featuring E-40,I Don't F**k With You,2/21/15,27,36,12,39,-3,4/4/15,1,11,26,12,-1
Pink,So What,1/31/09,15,15,22,20,-5,9/30/06,4,26,26,29,-3
Madonna Featuring Justin Timberlake,4 Minutes,8/16/08,5,37,20,39,-2,7/8/06,9,33,23,42,-9
Sisqo,Thong Song,9/23/00,4,36,25,38,-2,7/22/00,2,44,30,45,-1
Eminem,My Name Is,5/1/99,29,35,7,40,-5,4/17/99,18,28,13,35,-7
Janet Jackson,If,1/22/94,2,30,26,36,-6,2/5/94,3,49,30,48,1
Natalie La Rose Featuring Jeremih,Somebody,6/13/15,3,11,20,13,-2,7/18/15,5,12,26,16,-4
Drake Featuring Majid Jordan,"Hold On, We're Going Home",1/18/14,4,15,20,18,-3,3/8/14,1,9,29,10,-1
Kendrick Lamar,i,11/29/14,31,31,6,34,-3,2/21/15,11,45,20,45,0
Destiny s Child,"Jumpin , Jumpin",12/16/00,1,24,25,29,-5,11/18/00,8,39,28,47,-8
Rihanna,Needed Me,11/5/16,16,35,20,33,2,11/19/16,1,9,40,10,-1
50 Cent Featuring Eminem & Adam Levine,My Life,1/26/13,39,0,1,39,New,2/2/13,15,39,8,47,-8
Kanye West,Heartless,5/2/09,4,21,20,24,-3,5/2/09,4,35,27,46,-11
Macklemore & Ryan Lewis Featuring Ray Dalton,Can't Hold Us,8/24/13,1,13,21,13,0,11/30/13,1,18,52,15,3
Nicki Minaj,Super Bass,11/5/11,3,13,24,15,-2,10/22/11,6,30,22,43,-13
Mya,My Love Is Like... Wo,11/22/03,8,29,14,37,-8,9/20/03,17,29,14,36,-7
Migos Featuring Lil Uzi Vert,Bad And Boujee,3/18/17,31,31,6,33,-2,3/18/17,1,1,17,1,0
"Nelly Featuring Kyjuan, Ali & Murphy Lee",Air Force Ones,3/22/03,10,31,17,37,-6,4/12/03,28,37,28,43,-6
Trina Featuring Kelly Rowland,Here We Go,3/11/06,20,40,15,39,1,2/18/06,34,36,22,42,-6
Sean Paul,We Be Burnin',3/4/06,9,37,20,34,3,2/4/06,17,40,26,39,1
Usher,Climax,5/5/12,36,36,3,37,-1,10/13/12,1,20,33,24,-4
Janet,Someone To Call My Lover,12/22/01,3,40,26,39,1,10/6/01,11,33,15,44,-11
Kanye West,Fade,12/17/16,23,30,10,37,-7,12/17/16,12,29,13,45,-16
Mario,Just A Friend 2002,10/26/02,6,34,16,39,-5,10/12/02,4,23,24,30,-7
Nicki Minaj,Anaconda,11/8/14,21,23,11,32,-9,2/14/15,1,16,26,20,-4
Usher,Numb,11/24/12,39,25,9,34,-9,9/6/14,42,44,12,49,-5
Machine Gun Kelly x Camila Cabello,Bad Things,3/18/17,1,4,19,5,-1,3/18/17,2,5,20,8,-3
Trey Lorenz,Someone To Hold,12/5/92,21,30,9,35,-5,1/2/93,5,46,20,46,0
Mariah Carey,Honey,11/29/97,10,38,16,39,-1,6/28/08,44,45,30,47,-2
Fat Joe Featuring Nelly,Get It Poppin',11/26/05,7,31,23,33,-2,8/20/05,17,37,13,46,-9
Nicki Minaj Featuring Drake & Lil Wayne,Truffle Butter,5/16/15,25,38,13,40,-2,7/11/15,4,20,25,23,-3
Usher Featuring Jay-Z,Hot Tottie,12/4/10,27,35,10,40,-5,12/25/10,9,40,20,45,-5
Calvin Harris Featuring Ne-Yo,Let's Go,10/6/12,10,19,20,23,-4,2/12/05,10,39,22,50,-11
Bobby Brown,Good Enough,3/20/93,5,40,22,39,1,4/18/15,33,46,6,50,-4
Flo Rida Featuring T-Pain,Low,6/14/08,14,16,30,19,-3,11/22/14,44,46,5,48,-2
50 Cent Featuring Mobb Deep,Outta Control (Remix),10/22/05,28,30,9,34,-4,10/22/05,11,31,15,50,-19
Sean Kingston Featuring Chris Brown & Wiz Khalifa,Beat It,7/27/13,33,35,7,39,-4,9/14/13,30,33,20,34,-1
Ashanti,Rock Wit U (Awww Baby),10/18/03,5,30,20,34,-4,9/13/03,4,42,20,45,-3
Janet Jackson,That s The Way Love Goes,10/2/93,1,31,23,37,-6,10/30/93,32,43,27,44,-1
Eminem Featuring Rihanna,Love The Way You Lie,11/27/10,1,17,21,18,-1,11/27/10,7,39,17,44,-5
Zhane,Hey Mr. D.J.,2/5/94,16,0,13,39,Re-Entry,2/26/94,3,48,29,50,-2
Kanye West,Stronger,1/26/08,17,18,25,20,-2,10/20/07,30,30,7,40,-10
Zhane,Shame,1/21/95,38,0,3,40,Re-Entry,8/15/15,32,35,4,44,-9
3LW Featuring P. Diddy & Loon,I Do (Wanna Get Close To You),11/2/02,26,26,9,37,-11,9/14/02,50,53,11,50,3
Beyonce Featuring Jay Z,Drunk In Love,5/3/14,13,33,12,38,-5,6/21/14,2,19,25,25,-6
Prince,1999,1/16/99,36,0,1,36,Hot Shot Debut,5/14/16,45,17,22,15,2
Mary J. Blige Featuring Ja Rule,Rainy Dayz,7/27/02,22,28,9,40,-12,8/17/02,8,42,27,42,0
Rihanna Featuring Ne-Yo,Hate That I Love You,3/1/08,3,18,24,20,-2,2/23/08,20,35,21,43,-8
Mariah Carey,Touch My Body,7/12/08,7,27,20,28,-1,7/26/08,2,32,23,46,-14
Usher,Caught Up,7/16/05,2,34,26,33,1,4/30/05,13,44,36,48,-4
Mariah Carey Featuring Cameo,Loverboy,8/4/01,37,37,2,38,-1,9/15/01,44,37,14,37,0
Soul For Real,Candy Rain,7/8/95,20,35,13,38,-3,7/8/95,1,46,32,42,4
Freak Nasty,Da' Dip,6/21/97,31,33,12,31,2,6/21/97,16,28,39,31,-3
Sick Puppies,Maybe,3/5/11,22,32,16,37,-5,1/17/15,32,0,10,50,Re-Entry
En Vogue,"Give It Up, Turn It Loose",4/24/93,10,37,18,40,-3,3/27/93,16,36,20,43,-7
Rihanna,Kiss It Better,6/4/16,24,27,7,35,-8,7/9/16,21,28,20,32,-4
Sean Paul Featuring Sasha,I'm Still In Love With You,6/26/04,17,31,10,39,-8,6/5/04,13,47,30,46,1
T.I.,What You Know,6/17/06,39,40,2,39,1,8/26/06,1,46,28,49,-3
Drake,Headlines,2/25/12,17,31,16,35,-4,3/10/12,2,48,31,48,0
B2K,Uh Huh,6/15/02,21,29,9,33,-4,4/20/02,20,44,24,47,-3
Eminem,Superman,5/3/03,10,31,14,40,-9,4/12/03,44,49,11,46,3
Rihanna,Unfaithful,9/23/06,2,18,20,19,-1,9/23/06,18,58,12,47,11
Eminem Featuring Dr. Dre & 50 Cent,Encore,2/12/05,19,32,10,35,-3,12/11/04,48,53,5,48,5
Kid Cudi,Day 'N' Nite,7/11/09,16,25,20,24,1,7/25/09,5,40,21,45,-5
Taylor Swift,Shake It Off,1/17/15,1,16,20,17,-1,3/18/06,2,47,35,37,10
Rihanna Featuring Jay-Z,Talk That Talk,5/12/12,26,35,9,36,-1,4/21/12,12,39,21,50,-11
Nicki Minaj Featuring Drake,Moment 4 Life,6/4/11,18,32,11,40,-8,7/16/11,1,39,32,47,-8
Trey Songz Featuring Fabolous,Say Aah,7/3/10,16,37,19,37,0,7/24/10,12,42,43,49,-7
Santana Featuring The Product G,Maria Maria,7/29/00,22,34,26,34,0,9/9/00,23,50,32,49,1
Pharrell Williams,Happy,6/21/14,37,16,20,17,-1,11/1/14,6,8,42,9,-1
Toni Braxton,He Wasn't Man Enough,7/8/00,23,29,26,23,6,7/8/00,8,8,27,14,-6
Vanessa Williams,The Sweetest Days,3/18/95,22,31,17,36,-5,1/21/95,40,52,17,47,5
Lil' Flip Featuring Lea,Sunshine,12/4/04,6,32,18,36,-4,11/6/04,37,39,22,46,-7
R. Kelly,Ignition,9/13/03,1,31,26,33,-2,7/5/03,2,34,36,45,-11
Lenny Kravitz,Again,5/26/01,2,14,28,18,-4,2/20/16,12,14,26,16,-2
3LW,No More (Baby I'ma Do Right),5/26/01,12,36,17,40,-4,3/3/01,22,34,23,40,-6
Wreckx-N-Effect,Rump Shaker,2/13/93,38,40,4,38,2,3/27/93,2,50,27,49,1
Lloyd Featuring Lil' Wayne,You,4/28/07,21,35,12,38,-3,6/16/07,11,41,48,44,-3
Kid Cudi Featuring Kanye West & Common,Make Her Say,9/26/09,39,39,2,40,-1,9/19/09,39,44,11,49,-5
New Kids On The Block,Summertime,8/23/08,18,30,13,35,-5,10/18/03,35,38,13,48,-10
Nina Sky Featuring Jabba,Move Ya Body,11/20/04,5,33,22,36,-3,9/4/04,14,43,25,46,-3
Jay-Z,99 Problems,7/17/04,37,37,3,38,-1,7/17/04,26,48,13,49,-1
Mariah Carey & Boyz II Men,One Sweet Day,5/4/96,1,32,26,33,-1,5/4/96,2,45,23,49,-4
Shakira Featuring Lil Wayne,Give It Up To Me,1/23/10,23,29,11,35,-6,6/17/06,36,65,4,36,29
T.I.,Whatever You Like,2/14/09,3,19,21,19,0,3/28/09,1,45,35,50,-5
General Public,I ll Take You There,8/13/94,9,36,19,39,-3,1/11/92,2,30,22,34,-4
Jay-Z,Change Clothes,1/31/04,33,33,6,36,-3,3/6/04,6,44,18,47,-3
Ying Yang Twins Featuring Mike Jones & Mr. ColliPark,Badd,10/15/05,36,37,4,40,-3,10/29/05,16,35,17,44,-9
Eminem Featuring Dido,Stan,12/30/00,33,33,5,34,-1,12/2/00,36,39,9,45,-6
Owl City & Carly Rae Jepsen,Good Time,12/1/12,4,13,21,14,-1,11/9/91,27,27,11,32,-5
J. Cole Featuring Miguel,Power Trip,7/20/13,35,35,4,38,-3,11/2/13,5,23,36,24,-1
Cherish Featuring Sean Paul Of The YoungBloodZ,Do It To It,11/11/06,6,24,20,24,0,9/2/06,10,28,22,41,-13
Jamie Foxx Featuring T-Pain,Blame It,8/1/09,3,22,20,25,-3,11/14/09,1,48,47,46,2
"Missy Misdemeanor"" Elliott""",Work It,3/15/03,3,36,21,37,-1,2/21/15,1,0,30,12,Re-Entry
Ray J & Yung Berg,Sexy Can I,8/9/08,2,15,20,19,-4,7/19/08,4,46,26,47,-1
"Missy Misdemeanor"" Elliott""",One Minute Man,12/22/01,30,37,10,36,1,11/17/01,31,39,24,41,-2
SoulDecision Featuring Thrust,Faded,1/27/01,6,18,30,20,-2,7/7/12,19,31,19,50,-19
"DJ Khaled Featuring Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future & Rick Ross",Do You Mind,2/4/17,32,36,6,37,-1,1/28/17,9,22,24,25,-3
The-Dream,Shawty Is A 10,12/15/07,38,40,3,38,2,2/16/08,6,45,31,47,-2
Drake,Hotline Bling,2/13/16,2,22,20,22,0,4/2/16,1,10,33,9,1
Justin Timberlake,SexyBack,1/13/07,1,20,26,19,1,11/25/06,11,28,12,50,-22
Jessie J,Masterpiece,3/28/15,30,30,7,38,-8,5/2/92,3,20,16,33,-13
Mandy Moore,Candy,3/25/00,27,33,15,38,-5,9/22/01,48,48,5,48,0
Pras Michel Feat. Ol  Dirty Bastard,Ghetto Supastar (That Is What You Are),11/7/98,23,37,18,38,-1,10/10/98,39,46,20,47,-1
Shontelle,T-Shirt,1/17/09,15,35,20,35,0,3/18/17,11,13,7,12,1
Alicia Keys,If I Ain't Got You,11/27/04,9,24,26,28,-4,2/19/05,1,40,56,43,-3
Huey,"Pop, Lock & Drop It",8/11/07,27,34,9,40,-6,8/18/07,6,45,33,50,-5
Jennifer Lopez,Love Don't Cost A Thing,6/2/01,1,38,26,40,-2,3/17/01,40,72,12,40,32
50 Cent,Disco Inferno,7/16/05,8,28,26,29,-1,5/14/05,4,46,23,47,-1
Chingy Featuring Ludacris & Snoop Dogg,Holidae In,2/21/04,13,30,14,36,-6,2/14/04,2,40,24,42,-2
Cassidy Featuring R. Kelly,Hotel,6/19/04,10,36,16,38,-2,4/18/15,30,44,10,45,-1
D12,My Band,7/24/04,36,35,18,36,-1,6/19/04,26,32,14,41,-9
Mariah Carey,Always Be My Baby,8/24/96,3,23,26,23,0,8/31/96,1,42,22,46,-4
SWV,Weak,10/16/93,2,39,20,40,-1,10/2/93,1,39,24,48,-9
Brandy,Almost Doesn t Count,9/4/99,15,35,18,37,-2,8/21/99,16,36,20,39,-3
Busta Rhymes Featuring Janet,What s It Gonna Be?!,6/5/99,40,0,1,40,Hot Shot Debut,7/24/99,1,40,26,43,-3
Cash Cash Featuring Bebe Rexha,Take Me Home,5/3/14,14,27,17,37,-10,2/12/05,22,55,21,49,6
Hilary Duff,All About You,11/1/14,38,40,2,38,2,9/28/91,28,28,13,45,-17
Mims,This Is Why I'm Hot,6/23/07,11,38,17,37,1,6/9/07,2,44,23,38,6
Chad Kroeger Featuring Josey Scott,Hero,11/23/02,2,38,26,38,0,3/5/94,5,41,20,48,-7
PARTYNEXTDOOR,Not Nice,3/18/17,34,35,4,34,1,3/18/17,30,34,10,38,-4
Fergie,Finally,4/26/08,34,34,4,40,-6,2/1/92,26,28,16,38,-10
Ginuwine,Differences,2/23/02,14,30,16,37,-7,3/23/02,1,41,39,47,-6
Blaque,Bring It All To Me,5/6/00,6,17,26,19,-2,4/1/00,15,40,27,42,-2
Mariah Carey Featuring Miguel,#Beautiful,8/3/13,15,26,11,35,-9,9/28/13,3,39,20,46,-7
Cassie,Me & U,10/21/06,3,16,24,18,-2,10/14/06,1,39,23,50,-11
Whitney Houston,"I Have Nothing (From The Bodyguard"")""",7/3/93,3,35,17,40,-5,7/3/93,4,39,20,45,-6
Babyface,When Can I See You,12/31/94,4,23,26,26,-3,12/10/94,6,46,27,50,-4
Whitney Houston,My Love Is Your Love,5/6/00,10,0,24,40,Re-Entry,2/5/00,2,42,29,44,-2
Jeremih Featuring YG,Don't Tell 'Em,12/27/14,5,19,20,19,0,1/31/15,2,9,32,10,-1
Eminem,Just Lose It,2/5/05,5,35,18,40,-5,11/13/04,35,45,6,45,0
J. Cole,Work Out,3/31/12,31,29,20,31,-2,3/24/12,10,44,34,40,4
Alicia Keys,Like You'll Never See Me Again,5/3/08,25,35,11,40,-5,9/13/08,1,46,45,46,0
50 Cent,Just A Lil Bit,10/1/05,9,37,19,40,-3,8/20/05,3,44,23,49,-5
"Janet Featuring Missy Elliott, P. Diddy & Carly Simon",Son Of A Gun,2/9/02,20,33,10,39,-6,1/26/02,42,34,13,43,-9
"N.O.R.E. Featuring Daddy Yankee, Nina Sky, Gem Star & Big Mato",Oye Mi Canto,12/25/04,19,27,8,34,-7,1/15/05,50,43,24,44,-1
Plies Featuring T-Pain,Shawty,11/3/07,28,30,10,37,-7,2/16/08,2,41,40,44,-3
B.o.B Featuring Priscilla,John Doe,5/24/14,29,39,10,40,-1,5/24/14,32,27,10,36,-9
Kent Jones,Don't Mind,9/17/16,8,36,16,37,-1,10/8/16,35,17,22,23,-6
R. Kelly,I m Your Angel,2/27/99,17,31,16,37,-6,2/13/99,5,37,20,42,-5
David Banner Featuring Chris Brown,Get Like Me,9/6/08,39,0,2,39,Re-Entry,9/21/13,36,0,3,48,Re-Entry
Ashlee Simpson,Pieces Of Me,12/4/04,1,22,26,27,-5,11/19/11,19,42,31,49,-7
Creed,Rain,2/6/10,34,36,9,40,-4,6/27/98,7,45,20,41,4
Gloria Estefan,Everlasting Love,4/22/95,28,37,9,40,-3,4/11/92,6,35,25,50,-15
Avril Lavigne,Girlfriend,8/11/07,13,21,20,23,-2,2/23/08,23,33,15,36,-3
Frankie J Featuring Mannie Fresh & Chamillionaire,That Girl,12/2/06,23,39,17,38,1,4/13/13,36,36,2,42,-6
Michael Jackson,Who Is It,7/3/93,6,24,13,27,-3,6/26/93,6,35,20,43,-8
LL Cool J Featuring 7 Aurelius,Hush,12/18/04,26,32,6,38,-6,1/22/05,14,37,20,45,-8
"Cam'ron Featuring Juelz Santana, Freekey Zekey & Toya",Hey Ma,3/8/03,6,38,23,39,-1,1/18/03,7,50,25,49,1
Ellie Goulding,Burn,4/12/14,3,12,24,13,-1,10/2/04,26,45,30,44,1
twenty one pilots,Ride,10/29/16,1,12,26,15,-3,5/10/14,27,26,20,28,-2
Usher,Nice & Slow,4/11/98,26,28,18,26,2,4/11/98,1,6,33,7,-1
Puff Daddy & Faith Evans Featuring 112,I'll Be Missing You,12/27/97,11,36,26,34,2,1/24/98,1,44,33,46,-2
Somethin' For The People Featuring Trina & Tamara,My Love Is The Shhh!,3/7/98,27,38,15,39,-1,3/21/98,2,42,30,49,-7
Chris Brown,With You,6/7/08,1,18,23,20,-2,8/6/16,34,39,12,45,-6
Rihanna,Love On The Brain,3/18/17,3,3,20,3,0,3/18/17,3,3,24,3,0
Eminem,Cleanin' Out My Closet,11/9/02,7,30,14,36,-6,11/16/02,11,31,16,42,-11
matchbox 20,Push,2/14/98,3,18,31,19,-1,2/13/93,31,50,14,48,2
Sam Hunt,Take Your Time,8/8/15,27,34,9,39,-5,3/1/97,50,50,12,50,0
David Guetta Featuring Usher,Without You,2/25/12,22,13,24,14,-1,12/16/00,26,26,19,44,-18
Toni Braxton,Breathe Again,5/7/94,2,35,25,39,-4,3/26/94,4,39,24,44,-5
Nelly,#1,3/30/02,13,36,18,40,-4,1/12/02,20,51,18,50,1
Zay Hilfigerrr & Zayion McCall,Juju On That Beat (TZ Anthem),12/24/16,30,30,6,35,-5,3/11/17,3,17,23,22,-5
Ginuwine,Pony,4/12/97,28,35,17,37,-2,4/19/97,1,49,33,50,-1
Chingy Featuring Tyrese,Pullin' Me Back,11/18/06,16,30,12,39,-9,12/23/06,1,41,30,48,-7
Ciara,Like A Boy,9/1/07,18,37,17,38,-1,7/7/07,6,41,19,43,-2
One Direction,Little Things,2/23/13,18,27,11,36,-9,2/1/03,33,50,22,50,0
Babyface,And Our Feelings,5/14/94,29,31,8,35,-4,6/18/94,8,37,20,45,-8
Busta Rhymes & Mariah Carey Featuring The Flipmode Squad,I Know What You Want,8/30/03,4,30,17,38,-8,8/16/03,38,45,29,47,-2
Destiny's Child,"Jumpin', Jumpin'",12/23/00,27,29,26,34,-5,7/8/00,44,45,28,44,1
Young Money,Every Girl,8/29/09,40,0,1,40,New,11/7/09,2,46,29,44,2
Staind,Right Here,7/1/06,9,20,26,20,0,4/20/13,36,40,5,47,-7
2 Pistols Featuring T-Pain & Tay Dizm,She Got It,7/19/08,28,31,10,37,-6,7/26/08,9,34,26,47,-13
Kirko Bangz,Drank In My Cup,7/21/12,28,36,10,38,-2,9/15/12,5,47,55,49,-2
"Missy Misdemeanor"" Elliott Featuring Ludacris""",Gossip Folks,5/10/03,8,26,13,35,-9,5/3/03,5,41,20,48,-7
SWV,You're The One,7/6/96,34,34,4,40,-6,9/4/10,43,47,38,49,-2
Saving Jane,Girl Next Door,4/29/06,21,21,20,28,-7,10/20/01,34,36,22,43,-7
Lenny Kravitz,Lady,3/5/05,26,28,12,38,-10,8/24/96,2,41,26,50,-9
Ja Rule Featuring Lil' Mo & Vita,Put It On Me,7/7/01,24,36,15,38,-2,6/16/01,24,41,30,47,-6
Blessid Union Of Souls,Let Me Be The One,2/3/96,14,22,26,27,-5,10/2/93,23,37,20,42,-5
All-4-One,I Swear,10/1/94,1,34,23,39,-5,8/27/94,13,37,20,44,-7
MKTO,Thank You,5/18/13,38,40,2,38,2,10/13/12,47,49,51,48,1
Ne-Yo,Because Of You,7/21/07,17,37,18,38,-1,8/18/07,7,40,27,49,-9
Jeremih Featuring 50 Cent,Down On Me,7/23/11,8,27,20,29,-2,8/27/11,7,46,44,49,-3
En Vogue,Love Don t Love You,6/19/93,28,33,11,38,-5,5/29/93,31,35,13,50,-15
P.M. Dawn,"I d Die Without You (From Boomerang"")""",4/3/93,2,38,27,39,-1,1/23/93,16,31,20,50,-19
